session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2022-11-30,2022-12-01,CE,18550,2022-12-01,50,77.4,18743.2,18684.57,18747.8,18871.95,190.15,316.7,True,9507.5,73.27,6254.23
2022-12-19,2022-12-20,CE,18200,2022-12-22,50,76.2,18419.45,18381.74,18422.0,18335.55,276.1,201.1,True,13805.0,68.84,-3818.84
2022-12-20,2022-12-21,CE,18200,2022-12-22,50,79.6,18390.65,18319.01,18392.55,18468.8,209.5,272.5,True,10475.0,71.12,3078.88
2022-12-23,2022-12-26,PE,18000,2022-12-29,50,27.9,17788.9,17846.87,17798.95,17844.65,223.1,191.05,True,11155.0,66.47,-1668.97
2023-01-17,2023-01-18,CE,17850,2023-01-19,50,71.1,18051.7,17999.8,18056.8,18064.85,223.9,243.15,True,11195.0,69.77,892.73
2023-02-03,2023-02-06,CE,17650,2023-02-09,50,77.0,17851.5,17790.62,17854.05,17810.45,259.3,214.1,True,12965.0,69.11,-2329.11
2023-02-15,2023-02-16,CE,17800,2023-02-16,50,81.2,18014.65,17955.83,18008.95,18103.85,224.0,297.65,True,11200.0,73.18,3609.32
2023-03-08,2023-03-09,CE,17550,2023-03-09,50,77.7,17761.4,17707.94,17758.25,17748.3,208.0,217.15,True,10400.0,67.62,389.88
2023-03-13,2023-03-14,PE,17350,2023-03-16,50,26.7,17125.1,17180.62,17133.4,17149.1,246.55,217.6,True,12327.5,68.91,-1516.41
2023-03-15,2023-03-16,PE,17150,2023-03-16,50,27.4,16980.55,17032.31,16974.05,16937.35,178.0,222.75,True,8900.0,66.99,2170.51
2023-03-20,2023-03-21,CE,16800,2023-03-23,50,73.1,16984.65,16920.05,16994.0,17044.95,239.5,290.0,True,11975.0,73.21,2451.79
2023-04-05,2023-04-06,CE,17350,2023-04-06,50,71.7,17559.5,17538.86,17556.7,17526.8,204.95,193.05,True,10247.5,66.01,-661.01
2023-04-24,2023-04-25,CE,17550,2023-04-27,50,74.6,17743.3,17712.65,17745.95,17722.45,220.7,203.15,True,11035.0,67.16,-944.66
2023-04-28,2023-05-02,CE,17850,2023-05-04,50,79.6,18060.3,17995.22,18062.35,18124.15,233.75,304.45,True,11687.5,73.92,3461.08
2023-05-16,2023-05-17,PE,18500,2023-05-18,50,20.4,18296.35,18337.08,18296.85,18269.3,198.0,219.35,True,9900.0,67.42,1000.08
2023-05-19,2023-05-22,CE,18000,2023-05-25,50,77.4,18199.55,18166.27,18209.95,18184.05,243.95,238.25,True,12197.5,70.12,-355.12
2023-05-26,2023-05-29,CE,18300,2023-06-01,50,71.2,18503.9,18480.31,18506.35,18633.4,238.6,341.4,True,11930.0,76.4,5063.6
2023-06-05,2023-06-06,PE,18800,2023-06-08,50,28.3,18591.5,18612.25,18590.7,18597.9,189.0,196.3,True,9450.0,65.68,299.32
2023-06-06,2023-06-07,CE,18400,2023-06-08,50,73.5,18596.85,18560.83,18602.0,18639.95,209.0,259.8,True,10450.0,70.31,2469.69
2023-06-07,2023-06-08,CE,18500,2023-06-08,50,77.2,18726.3,18700.38,18724.65,18746.55,231.8,230.9,True,11590.0,69.26,-114.26
2023-06-20,2023-06-21,CE,18600,2023-06-22,50,73.7,18810.85,18764.04,18812.7,18813.75,226.35,218.3,True,11317.5,68.28,-470.78
2023-06-27,2023-06-28,CE,18600,2023-06-28,50,74.2,18824.3,18781.72,18820.7,18872.4,219.2,263.0,True,10960.0,70.85,2119.15
2023-06-30,2023-07-03,CE,19000,2023-07-06,50,76.6,19186.3,19159.24,19185.7,19275.2,210.8,284.6,True,10540.0,71.93,3618.07
2023-07-12,2023-07-13,PE,19600,2023-07-13,50,29.2,19380.9,19436.25,19380.2,19470.75,198.2,167.2,True,9910.0,64.18,-1614.18
2023-07-14,2023-07-17,CE,19350,2023-07-20,50,70.6,19551.5,19507.13,19549.35,19597.5,230.2,259.0,True,11510.0,70.96,1369.04
2023-07-17,2023-07-18,CE,19500,2023-07-20,50,70.7,19705.5,19667.81,19713.2,19784.25,221.85,281.75,True,11092.5,72.12,2922.88
2023-07-19,2023-07-20,CE,19650,2023-07-20,50,72.2,19834.5,19788.67,19835.15,19790.85,190.15,160.5,True,9507.5,63.5,-1546.0
2023-08-09,2023-08-10,CE,19450,2023-08-10,50,86.1,19630.2,19556.83,19629.95,19606.05,200.6,193.85,True,10030.0,65.92,-403.42
2023-08-30,2023-08-31,PE,19550,2023-08-31,50,13.2,19351.2,19399.64,19342.5,19362.8,213.05,195.9,True,10652.5,66.45,-923.95
2023-09-06,2023-09-07,CE,19400,2023-09-07,50,80.4,19622.5,19542.3,19624.05,19584.45,207.35,160.3,True,10367.5,64.04,-2416.54
2023-09-11,2023-09-12,CE,19800,2023-09-14,50,80.1,19999.8,19963.27,19999.0,20075.05,212.9,279.35,True,10645.0,71.66,3250.84
2023-09-29,2023-10-03,PE,19850,2023-10-05,50,28.2,19632.0,19684.63,19627.3,19529.6,228.15,316.35,True,11407.5,74.49,4335.51
2023-10-04,2023-10-05,CE,19250,2023-10-05,50,70.9,19440.05,19397.21,19443.15,19535.95,202.0,278.95,True,10100.0,71.29,3776.21
2023-10-23,2023-10-25,PE,19500,2023-10-26,50,13.2,19286.05,19391.55,19287.05,19330.85,253.95,217.9,True,12697.5,69.16,-1871.66
2023-11-06,2023-11-07,CE,19200,2023-11-09,50,75.3,19412.4,19378.21,19414.0,19369.7,235.2,228.3,True,11760.0,69.2,-414.2
2023-11-22,2023-11-23,CE,19600,2023-11-23,50,72.8,19817.25,19781.33,19811.95,19847.65,248.35,246.05,True,12417.5,70.74,-185.74
2023-11-28,2023-11-29,CE,19700,2023-11-30,50,76.1,19888.2,19856.59,19885.65,19974.75,242.0,304.8,True,12100.0,74.22,3065.78
2023-11-29,2023-11-30,CE,19900,2023-11-30,50,77.0,20095.0,20071.29,20091.95,20113.0,235.4,229.0,True,11770.0,69.26,-389.26
2023-12-04,2023-12-05,CE,20500,2023-12-07,50,75.5,20682.1,20645.66,20677.7,20718.2,235.05,258.1,True,11752.5,71.07,1081.43
2023-12-13,2023-12-14,CE,20700,2023-12-14,50,71.6,20927.0,20872.69,20922.95,21114.8,241.65,393.65,True,12082.5,79.77,7520.23
2023-12-15,2023-12-18,CE,21250,2023-12-21,50,81.9,21433.05,21366.73,21437.85,21372.2,281.3,250.05,True,14065.0,72.08,-1634.58
2023-12-20,2023-12-21,PE,21400,2023-12-21,50,22.0,21162.6,21283.41,21175.9,21066.4,252.3,372.75,True,12615.0,78.81,5943.69
2023-12-27,2023-12-28,CE,21450,2023-12-28,50,76.0,21661.55,21581.49,21665.9,21713.0,257.25,250.45,True,12862.5,71.33,-411.33
2024-01-09,2024-01-10,PE,21750,2024-01-11,50,29.9,21559.45,21612.74,21554.6,21546.6,203.9,219.6,True,10195.0,67.63,717.37
2024-01-24,2024-01-25,CE,21250,2024-01-25,50,70.6,21438.4,21376.22,21442.75,21436.05,233.8,230.8,True,11690.0,69.31,-219.31
2024-01-30,2024-01-31,PE,21700,2024-02-01,50,20.1,21505.85,21602.39,21503.75,21473.9,253.05,250.05,True,12652.5,71.15,-221.15
2024-02-14,2024-02-15,CE,21650,2024-02-15,50,81.5,21850.5,21766.32,21837.45,21888.8,251.25,250.0,True,12562.5,71.1,-133.6
2024-03-06,2024-03-07,CE,22250,2024-03-07,50,76.1,22475.1,22408.12,22472.9,22498.15,272.25,271.15,True,13612.5,73.11,-128.11
2024-03-27,2024-03-28,PE,22300,2024-03-28,50,23.0,22100.85,22158.21,22103.25,22177.3,165.5,120.0,True,8275.0,60.14,-2335.14
2024-04-29,2024-04-30,CE,22450,2024-05-02,25,70.9,22648.8,22615.52,22647.45,22673.5,263.0,276.65,True,6575.0,60.17,281.08
2024-04-30,2024-05-02,PE,22850,2024-05-02,25,18.7,22619.4,22719.49,22626.55,22637.7,200.5,191.6,True,5012.5,56.49,-278.99
2024-05-27,2024-05-28,PE,23150,2024-05-30,25,25.4,22945.45,23015.7,22934.05,22986.4,228.1,216.35,True,5702.5,57.71,-351.46
2024-06-05,2024-06-06,CE,22450,2024-06-06,25,73.5,22657.85,22535.63,22652.75,22696.95,252.6,250.0,True,6315.0,59.17,-124.17
2024-07-05,2024-07-08,CE,24150,2024-07-11,25,71.5,24332.8,24252.21,24337.05,24286.0,254.55,224.05,True,6363.75,58.38,-820.88
2024-07-30,2024-07-31,PE,25050,2024-08-01,25,29.5,24854.65,24922.81,24845.35,24903.9,200.0,192.1,True,5000.0,56.5,-254.0
2024-08-12,2024-08-13,PE,24550,2024-08-14,25,29.4,24342.8,24392.23,24341.25,24344.25,257.2,256.45,True,6430.0,59.45,-78.2
2024-08-16,2024-08-19,CE,24350,2024-08-22,25,74.8,24556.3,24494.42,24546.15,24614.4,283.0,308.15,True,7075.0,61.47,567.28
2024-08-21,2024-08-22,CE,24550,2024-08-22,25,70.3,24772.2,24740.62,24767.2,24809.45,228.35,265.45,True,5708.75,59.25,868.25
2024-09-23,2024-09-24,CE,25750,2024-09-26,25,71.4,25951.1,25920.37,25943.6,25912.4,233.6,219.55,True,5840.0,57.9,-409.15
2024-09-25,2024-09-26,CE,25800,2024-09-26,25,74.3,25997.65,25938.93,26001.3,26045.45,200.7,256.4,True,5017.5,58.52,1333.98
2024-10-22,2024-10-23,PE,24700,2024-10-24,25,28.9,24484.6,24560.12,24475.1,24458.45,241.45,238.9,True,6036.25,58.63,-122.38
2024-10-29,2024-10-30,CE,24250,2024-10-31,25,72.8,24476.6,24403.67,24472.45,24379.75,266.35,200.0,True,6658.75,57.82,-1716.57
2024-11-04,2024-11-05,CE,23800,2024-11-07,25,70.8,24002.75,23947.56,24001.75,23922.95,327.4,286.05,True,8185.0,61.54,-1095.29
2024-11-05,2024-11-06,CE,24000,2024-11-07,25,75.2,24224.2,24148.48,24221.1,24234.35,273.15,298.1,True,6828.75,61.01,562.74
2024-11-19,2024-11-21,PE,23750,2024-11-21,25,15.0,23541.0,23674.44,23525.55,23388.95,273.15,422.3,True,6828.75,64.89,3663.86
2024-11-22,2024-11-25,CE,23750,2024-11-28,25,73.7,23936.35,23843.27,23935.2,24261.5,305.2,584.9,True,7630.0,70.51,6921.99
2024-12-20,2024-12-23,PE,23800,2024-12-26,25,21.4,23591.05,23685.16,23578.0,23758.95,284.9,230.0,True,7122.5,59.06,-1431.56
2025-02-04,2025-02-05,CE,23550,2025-02-06,75,70.6,23749.45,23690.98,23740.55,23751.7,197.45,214.1,True,14808.75,77.02,1171.73
2025-03-18,2025-03-19,CE,22650,2025-03-20,75,76.1,22834.4,22791.49,22833.75,22859.75,236.1,274.05,True,17707.5,84.56,2761.69
2025-04-07,2025-04-08,CE,22000,2025-04-09,75,75.3,22184.9,22022.36,22183.5,22540.7,444.05,589.6,True,33303.75,124.42,10791.83
2025-04-16,2025-04-17,CE,23250,2025-04-17,75,70.1,23437.75,23399.22,23434.7,23353.6,164.5,110.15,True,12337.5,65.64,-4141.89
2025-04-23,2025-04-24,CE,24150,2025-04-24,75,71.4,24334.85,24298.0,24339.8,24279.15,181.4,176.0,True,13605.0,72.66,-477.66
2025-05-20,2025-05-21,PE,24900,2025-05-22,75,28.1,24686.2,24724.16,24692.45,24758.8,230.0,205.0,True,17250.0,77.77,-1952.77
2025-06-20,2025-06-23,CE,24950,2025-06-26,75,71.4,25119.7,25055.0,25126.35,24968.35,272.0,180.0,True,20400.0,77.49,-6977.49
2025-07-04,2025-07-07,CE,25250,2025-07-10,75,79.4,25463.05,25415.78,25463.95,25424.65,277.8,264.55,True,20835.0,85.72,-1079.47
2025-07-08,2025-07-09,CE,25300,2025-07-10,75,78.2,25528.0,25474.07,25521.4,25504.3,265.2,255.1,True,19890.0,84.21,-841.71
2025-07-23,2025-07-24,CE,25050,2025-07-24,75,72.6,25231.05,25200.41,25226.55,25219.5,185.75,163.55,True,13931.25,71.7,-1736.7
2025-08-01,2025-08-04,PE,24750,2025-08-07,75,27.5,24553.85,24628.1,24544.55,24613.85,256.0,200.0,True,19200.0,78.59,-4278.59
2025-08-11,2025-08-12,CE,24400,2025-08-14,75,80.0,24597.55,24547.1,24592.3,24543.95,234.1,215.55,True,17557.5,78.95,-1470.2
2025-08-18,2025-08-19,PE,25100,2025-08-21,75,29.8,24877.7,24914.39,24881.0,24900.65,218.45,208.15,True,16383.75,77.5,-850.0
2025-08-26,2025-08-28,PE,24900,2025-08-28,75,29.0,24719.95,24771.16,24717.75,24575.5,184.95,325.15,True,13871.25,86.84,10428.16
2025-09-03,2025-09-04,CE,24500,2025-09-09,75,75.5,24714.35,24664.72,24724.2,24862.0,273.8,400.9,True,20535.0,98.32,9434.18
2025-09-25,2025-09-26,PE,25100,2025-09-30,75,21.1,24881.45,24946.54,24887.65,24798.6,185.9,252.75,True,13942.5,80.08,4933.67
2025-10-03,2025-10-06,CE,24700,2025-10-07,75,70.3,24899.8,24856.03,24889.5,24921.3,230.9,236.2,True,17317.5,80.75,316.75
2025-10-23,2025-10-24,PE,26100,2025-10-28,75,23.0,25885.3,25969.29,25875.85,25882.2,186.8,174.75,True,14010.0,72.8,-976.55
2025-11-14,2025-11-17,CE,25750,2025-11-18,75,77.5,25936.35,25804.65,25933.05,25920.25,229.9,198.9,True,17242.5,77.18,-2402.18
2025-11-24,2025-11-25,PE,26150,2025-11-25,75,26.5,25964.55,26032.63,25965.95,25935.1,170.8,160.0,True,12810.0,70.62,-880.62
2026-02-02,2026-02-03,CE,24900,2026-02-03,65,73.7,25089.35,24978.85,25090.0,25852.25,200.5,896.8,True,13032.5,128.71,45130.79
2026-02-06,2026-02-09,CE,25500,2026-02-10,65,72.9,25692.55,25631.29,25693.25,25811.9,216.0,342.15,True,14040.0,84.26,8115.49
2026-02-16,2026-02-17,CE,25500,2026-02-17,65,73.2,25688.65,25624.86,25693.9,25605.85,217.75,169.95,True,14153.75,70.32,-3177.32
2026-02-18,2026-02-19,CE,25650,2026-02-24,65,75.6,25825.7,25771.64,25825.4,25870.0,252.8,254.0,True,16432.0,78.65,-0.65
2026-02-19,2026-02-20,PE,25700,2026-02-24,65,29.3,25489.4,25552.35,25496.35,25459.75,274.8,271.8,True,17862.0,81.05,-276.05
2026-02-27,2026-03-02,PE,25400,2026-03-02,65,22.3,25168.2,25282.18,25187.3,24929.85,246.55,508.6,True,16025.75,99.09,16934.16
2026-03-06,2026-03-09,PE,24650,2026-03-10,65,27.7,24460.15,24543.91,24460.3,23772.9,322.25,877.1,False,20946.25,132.31,35932.94
2026-03-09,2026-03-10,CE,23850,2026-03-10,65,72.1,24033.3,23946.41,24035.9,24159.1,318.4,318.5,True,20696.0,86.7,-80.2
2026-03-16,2026-03-17,CE,23250,2026-03-17,65,73.5,23440.2,23316.61,23442.25,23400.75,263.0,243.0,True,17095.0,78.18,-1378.18
2026-03-19,2026-03-20,PE,23200,2026-03-24,65,26.1,22971.9,23092.6,22992.8,23211.45,368.1,298.95,True,23926.5,87.22,-4581.97
2026-03-27,2026-03-30,PE,23050,2026-03-30,65,25.7,22819.8,22877.75,22827.35,22508.2,342.1,542.85,True,22236.5,105.97,12942.78
2026-04-02,2026-04-06,CE,22550,2026-04-07,65,75.8,22746.65,22600.74,22746.25,22690.0,377.4,321.75,True,24531.0,89.49,-3706.74
2026-04-06,2026-04-07,CE,22750,2026-04-07,65,70.8,22975.35,22895.46,22972.65,22764.0,327.2,321.45,True,21268.0,87.32,-461.07
2026-04-17,2026-04-20,CE,24150,2026-04-21,65,71.3,24352.25,24323.65,24355.6,24294.35,286.0,285.0,True,18590.0,82.6,-147.6
2026-05-06,2026-05-07,CE,24150,2026-05-12,65,71.4,24315.5,24239.25,24328.05,24378.75,356.4,345.6,True,23166.0,90.52,-792.52
2026-05-11,2026-05-12,PE,24000,2026-05-12,65,24.6,23817.45,23909.87,23811.85,23723.2,186.85,274.1,True,12145.25,77.47,5593.78
2026-05-29,2026-06-01,PE,23700,2026-06-02,65,13.5,23512.75,23735.17,23518.4,23636.0,146.35,103.1,True,9512.75,61.84,-2873.09
2026-06-10,2026-06-11,PE,23400,2026-06-16,65,24.4,23235.05,23300.12,23220.85,23128.6,261.95,344.1,True,17026.75,86.38,5253.37
2026-06-11,2026-06-12,PE,23350,2026-06-16,65,28.3,23143.85,23205.23,23151.75,23425.4,262.6,110.15,True,17069.0,67.36,-9976.61
2026-06-12,2026-06-15,CE,23400,2026-06-16,65,80.8,23620.05,23537.97,23612.4,23949.7,303.6,549.7,False,19734.0,104.88,15891.62
2026-06-18,2026-06-19,CE,24000,2026-06-23,65,72.0,24176.2,24115.47,24177.6,23959.55,234.2,120.0,True,15223.0,66.96,-7489.96
2026-06-25,2026-06-29,PE,24250,2026-06-30,65,27.6,24059.7,24119.47,24069.4,24099.15,198.95,189.15,True,12931.75,71.08,-708.08
2026-07-08,2026-07-09,PE,24050,2026-07-14,65,24.6,23861.5,23943.65,23859.45,23958.45,289.5,238.5,True,18817.5,78.95,-3393.95
2026-07-09,2026-07-10,PE,24150,2026-07-14,65,29.7,23956.0,24029.4,23939.3,24149.85,256.15,156.55,True,16649.75,70.87,-6544.87
